name,state,lat,lng,sector_label
Aquinas Institute of Theology,Missouri,38.634329,-90.237795,Private
Arapahoe Community College,Colorado,39.607505,-105.018631,Public
Arcadia University,Pennsylvania,40.092606,-75.163876,Private
Arizona Christian University,Arizona,33.622952,-112.181776,Private
Arizona College-Dallas,Texas,32.923106,-96.75999,For-Profit
Arizona College-Las Vegas,Nevada,36.1456,-115.171331,For-Profit
Arizona College-Tempe,Arizona,33.403079,-111.965808,For-Profit
Arizona School of Acupuncture and Oriental Medicine,Arizona,32.264559,-110.929118,For-Profit
Arizona State University-Downtown Phoenix,Arizona,33.452914,-112.07347,Public
Arizona State University-Polytechnic,Arizona,33.307142,-111.677225,Public
Arizona State University-Skysong,Arizona,33.463786,-111.923861,Public
Arizona State University-Tempe,Arizona,33.417721,-111.934383,Public
Arizona State University-West,Arizona,33.60726,-112.160021,Public
Arkansas Baptist College,Arkansas,34.734751,-92.290555,Private
Arkansas Colleges of Health Education,Arkansas,35.317421,-94.319084,Private
Arkansas State University-Main Campus,Arkansas,35.842388,-90.679988,Public
Arkansas Tech University,Arkansas,35.293237,-93.13562,Public
Arlington Baptist University,Texas,32.739489,-97.156024,Private
Art Academy of Cincinnati,Ohio,39.108805,-84.513913,Private
Art Center College of Design,California,34.169031,-118.185102,Private
ASA College,New York,40.691464,-73.986076,For-Profit
Asbury Theological Seminary,Kentucky,37.861561,-84.660127,Private
Asbury University,Kentucky,37.862029,-84.662606,Private
Ashford University,California,32.8273,-117.141961,For-Profit
Ashland University,Ohio,40.861755,-82.321061,Private
Aspen University,Colorado,39.68614,-104.939111,For-Profit
Associated Beth Rivkah Schools,New York,40.666069,-73.949781,Private
Assumption College,Massachusetts,42.294226,-71.828991,Private
Atenas College,Puerto Rico,18.429776,-66.488422,Private
Athenaeum of Ohio,Ohio,39.082926,-84.371927,Private
Athens State University,Alabama,34.806793,-86.964698,Public
ATI College-Norwalk,California,33.948521,-118.003835,For-Profit
Atlanta Metropolitan State College,Georgia,33.70893,-84.404659,Public
Atlanta's John Marshall Law School,Georgia,33.793394,-84.387898,For-Profit
